id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
193,agrl2316,oats_cc,fesc_mgt,fesc_mgt,oats_cc,oats_cc,oats_cc,fesc_mgt,fesc_mgt,oats_cc,oats_cc,oats_cc,fesc_mgt,fesc_mgt,oats_cc,oats_cc,oats_cc,fesc_mgt,fesc_mgt,oats_cc,oats_cc,oats_cc,fesc_mgt,fesc_mgt,oats_cc,oats_cc,oats_cc,fesc_mgt,fesc_mgt,oats_cc,oats_cc,oats_cc,fesc_mgt,fesc_mgt,oats_cc,oats_cc,0
194,agrl2343,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,oats_cc,oats_cc,alfa,oats_cc,alfa,0
195,agrl2440,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,0
196,agrl2472,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,oats_cc,oats_cc,oats_cc,oats_cc,barl,0
197,agrl2588,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,oats_cc,0
198,agrl2622,oats_cc,oats_cc,oats_cc,oats_cc,trit,oats_cc,oats_cc,oats_cc,oats_cc,trit,oats_cc,oats_cc,oats_cc,oats_cc,trit,oats_cc,oats_cc,oats_cc,oats_cc,trit,oats_cc,oats_cc,oats_cc,oats_cc,trit,oats_cc,oats_cc,oats_cc,oats_cc,trit,oats_cc,oats_cc,oats_cc,oats_cc,trit,0
199,agrl2694,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,0
200,agrl2695,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,oats_cc,oats_cc,oats_cc,wwht,oats_cc,0
201,agrl2871,oats_cc,rye,barl,pota,trit,oats_cc,rye,barl,pota,trit,oats_cc,rye,barl,pota,trit,oats_cc,rye,barl,pota,trit,oats_cc,rye,barl,pota,trit,oats_cc,rye,barl,pota,trit,oats_cc,rye,barl,pota,trit,0
202,agrl2891,oats_cc,rye,oats_cc,alfa,rye,oats_cc,rye,oats_cc,alfa,rye,oats_cc,rye,oats_cc,alfa,rye,oats_cc,rye,oats_cc,alfa,rye,oats_cc,rye,oats_cc,alfa,rye,oats_cc,rye,oats_cc,alfa,rye,oats_cc,rye,oats_cc,alfa,rye,0
